# %ECSV 1.0
# ---
# datatype:
# - {name: x, datatype: float64}
# - {name: y, datatype: float64}
# meta: !!omap
# - {courtesy: Garreth Ruane}
# - {testbed: HCIT}
# - {url: --}
# - {reference: Trauger et al in prep}
# - {color: orange}
# - {pupil: clear}
# - {ls: -}
# - {wl: 550}
# - {bp_pct: '10'}
# - {DM: 2 AOX}
# - {coronagraph: SLEEC}
# schema: astropy-2.0
x y
2.92529252925293 4.08631130793171e-09
3.04230423042304 3.9083985892167005e-09
3.15931593159316 3.428414958218856e-09
3.27632763276328 3.0699338513617944e-09
3.39333933393339 2.8707875373692298e-09
3.51035103510351 2.4796685787882344e-09
3.62736273627363 2.158095033652562e-09
3.74437443744374 1.905334496081298e-09
3.86138613861386 1.6435308731748602e-09
3.97839783978398 1.41835357200885e-09
4.0954095409541 1.170436693630384e-09
4.21242124212421 1.007077064860585e-09
4.32943294329433 9.358709604268948e-10
4.44644464446445 8.424551544987267e-10
4.56345634563456 7.618046655447086e-10
4.68046804680468 7.900277158482802e-10
4.7974797479748 8.122503857099229e-10
4.91449144914491 8.0041985283945e-10
5.03150315031503 8.013973790616601e-10
5.14851485148515 8.484225656928098e-10
5.26552655265527 7.32221720403941e-10
5.38253825382538 7.362101664691283e-10
5.4995499549955 6.942796060604144e-10
5.61656165616562 6.921844417063722e-10
5.73357335733573 6.856078250559195e-10
5.85058505850585 6.750406097847366e-10
5.96759675967597 6.582617850671711e-10
6.08460846084609 7.081408698052715e-10
6.2016201620162 7.090816055134763e-10
6.31863186318632 6.46778544084943e-10
6.43564356435644 6.031205313928144e-10
6.55265526552655 6.198515337185352e-10
6.66966696669667 6.04438480939417e-10
6.78667866786679 5.933055663923488e-10
6.9036903690369 6.135944634490065e-10
7.02070207020702 6.333475908533982e-10
7.13771377137714 6.171303872508042e-10
7.25472547254726 6.002116993552905e-10
7.37173717371737 6.470122410236113e-10
7.48874887488749 6.55521984840051e-10
7.60576057605761 6.562423627159859e-10
7.72277227722772 6.625645977929918e-10
7.83978397839784 7.013285018011298e-10
7.95679567956796 7.271493138859081e-10
8.07380738073807 7.246244379529015e-10
8.19081908190819 7.294813746656126e-10
8.30783078307831 7.406339433886534e-10
8.42484248424842 7.190595055547302e-10
8.54185418541854 7.350089111687182e-10
8.65886588658866 7.176861762631172e-10
8.77587758775878 7.176057017824744e-10
8.89288928892889 7.199572439791803e-10
9.00990099009901 6.946965345183208e-10
9.12691269126913 6.79604209439462e-10
9.24392439243924 6.536036355399619e-10
9.36093609360936 6.378012074939732e-10
9.47794779477948 5.88514415343774e-10
9.5949594959496 6.059851212558942e-10
9.71197119711971 5.79831316537605e-10
9.82898289828983 5.6309212258967e-10
9.94599459945995 6.054167262381866e-10
10.0630063006301 5.664972467078008e-10
10.1800180018002 5.976655576249405e-10
10.2970297029703 6.031019963104293e-10
10.4140414041404 5.479757382552635e-10
10.5310531053105 5.515604694593524e-10
10.6480648064806 5.350008862981932e-10
10.7650765076508 5.004368365760948e-10
10.8820882088209 5.56686372279392e-10
10.999099909991 5.838082077997968e-10
11.1161116111611 6.036905569045128e-10
11.2331233123312 6.205323047195883e-10
11.3501350135014 6.096132428936912e-10
11.4671467146715 6.620008214410982e-10
11.5841584158416 7.215277005321155e-10
11.7011701170117 7.94714923667121e-10
11.8181818181818 6.246996731870636e-10
