# %ECSV 1.0
# ---
# datatype:
# - {name: x, unit: lambda/D, datatype: float64}
# - {name: y, unit: normI, datatype: float64}
# meta: !!omap
# - {reference: Seo et al 2019}
# - {url: 'https://doi.org/10.1117/12.2530033'}
# - {pupil: clear}
# - {color: red}
# - {ls: '-'}
# - {bp_pct: 10}
# - {coronagraph: Lyot}
# - {wl: 550}
# - {DM: 2 AOX}
# - {testbed: HCIT}
# schema: astropy-2.0
x y
3.1319148936170214 1.6003882425208134e-09
3.1829787234042555 1.3830728955554491e-09
3.2595744680851064 1.1385130897615416e-09
3.3276595744680852 9.680894625777795e-10
3.3787234042553194 8.503103488959861e-10
3.4382978723404256 7.59069759818922e-10
3.506382978723404 6.776195315271178e-10
3.557446808510638 6.049091319572059e-10
3.617021276595745 5.578004666282449e-10
3.702127659574468 5.060871986919702e-10
3.804255319148936 4.517826801206398e-10
3.9319148936170216 4.0330518255455486e-10
4.017021276595744 3.7797649088223755e-10
4.085106382978724 3.6002945095622e-10
4.25531914893617 3.5423851177594074e-10
4.374468085106383 3.5423851177594074e-10
4.476595744680852 3.4854071768837866e-10
4.595744680851064 3.429345704895215e-10
4.706382978723404 3.3741859607341466e-10
4.842553191489362 3.3199134404454255e-10
5.012765957446808 3.3199134404454255e-10
5.182978723404255 3.3199134404454255e-10
5.302127659574468 3.3741859607341466e-10
5.412765957446808 3.213973218365546e-10
5.531914893617021 3.1622776601683795e-10
5.693617021276596 3.012126725405938e-10
5.889361702127659 2.8229567558496115e-10
6.042553191489362 2.732874688650751e-10
6.212765957446809 2.645667188628312e-10
6.3574468085106375 2.645667188628312e-10
6.493617021276595 2.6031126205508627e-10
6.646808510638297 2.6031126205508627e-10
6.740425531914894 2.6031126205508627e-10
6.842553191489361 2.688917420523746e-10
6.961702127659574 2.8229567558496115e-10
7.046808510638297 2.869105241511778e-10
7.191489361702127 2.9160081428144016e-10
7.353191489361702 3.012126725405938e-10
7.446808510638298 3.0613676805541245e-10
7.531914893617021 3.213973218365546e-10
7.608510638297872 3.3741859607341466e-10
7.702127659574468 3.6002945095622e-10
7.82127659574468 3.841554883585433e-10
7.897872340425532 4.0330518255455486e-10
7.923404255319149 4.0989824261331576e-10
