# %ECSV 1.0
# ---
# datatype:
# - {name: r_pix, datatype: int64}
# - {name: x, unit: lambda/D, datatype: float64}
# - {name: y, unit: normI, datatype: float64}
# meta: !!omap
# - {reference: Ruane et al 2022}
# - {url: 'https://doi.org/10.1117/12.2628972'}
# - {pupil: clear}
# - {color: blue}
# - {ls: '-'}
# - {courtesy: Garreth Ruane}
# - {bp_pct: 10}
# - {coronagraph: VVC4}
# - {wl: 635}
# - {DM: 2 AOX}
# - {testbed: HCIT}
# schema: astropy-2.0
r_pix x y
0 0.0 nan
1 0.10035510267099 nan
2 0.200710205341979 nan
3 0.301065308012969 nan
4 0.401420410683959 nan
5 0.501775513354948 nan
6 0.602130616025938 nan
7 0.702485718696928 nan
8 0.802840821367917 nan
9 0.903195924038907 nan
10 1.0035510267099 nan
11 1.10390612938089 nan
12 1.20426123205188 nan
13 1.30461633472287 nan
14 1.40497143739386 nan
15 1.50532654006485 nan
16 1.60568164273583 nan
17 1.70603674540682 nan
18 1.80639184807781 nan
19 1.9067469507488 nan
20 2.00710205341979 nan
21 2.10745715609078 nan
22 2.20781225876177 nan
23 2.30816736143276 nan
24 2.40852246410375 nan
25 2.50887756677474 nan
26 2.60923266944573 nan
27 2.70958777211672 nan
28 2.80994287478771 nan
29 2.9102979774587 1.9534002640109e-09
30 3.01065308012969 2.37251208721049e-09
31 3.11100818280068 3.06941726511999e-09
32 3.21136328547167 3.39996365602093e-09
33 3.31171838814266 3.58932316427825e-09
34 3.41207349081365 3.63849054917044e-09
35 3.51242859348464 3.43544719762456e-09
36 3.61278369615563 3.04286342594038e-09
37 3.71313879882662 2.55626714271924e-09
38 3.81349390149761 2.38509100630967e-09
39 3.9138490041686 1.91036010699795e-09
40 4.01420410683959 1.59455919699773e-09
41 4.11455920951058 1.28673576620462e-09
42 4.21491431218157 1.10159668400243e-09
43 4.31526941485256 1.15878852997875e-09
44 4.41562451752355 1.16713554367886e-09
45 4.51597962019454 1.20509870186841e-09
46 4.61633472286552 1.19530119547388e-09
47 4.71668982553651 1.16942612245006e-09
48 4.8170449282075 1.05909926212129e-09
49 4.91740003087849 9.9322579694143e-10
50 5.01775513354948 9.86555622162885e-10
51 5.11811023622047 9.70276750206725e-10
52 5.21846533889146 1.0105142692457e-09
53 5.31882044156245 1.12220772782042e-09
54 5.41917554423344 1.29329659622524e-09
55 5.51953064690443 1.4470581101446e-09
56 5.61988574957542 1.67077627444674e-09
57 5.72024085224641 1.90025711622335e-09
58 5.8205959549174 1.95715841004574e-09
59 5.92095105758839 2.10442214014045e-09
60 6.02130616025938 2.09798552614762e-09
61 6.12166126293037 2.12405663453404e-09
62 6.22201636560136 2.1540497476535e-09
63 6.32237146827235 2.14537931222465e-09
64 6.42272657094334 2.08394420223148e-09
65 6.52308167361433 2.09651780619146e-09
66 6.62343677628532 2.10356884644534e-09
67 6.72379187895631 2.09187637913177e-09
68 6.8241469816273 2.12238103252731e-09
69 6.92450208429829 2.07100909889511e-09
70 7.02485718696928 2.02638878301175e-09
71 7.12521228964027 1.95081994897151e-09
72 7.22556739231126 1.88855144894141e-09
73 7.32592249498225 1.83035545572707e-09
74 7.42627759765324 1.71286817134055e-09
75 7.52663270032423 1.67093768326251e-09
76 7.62698780299521 1.63988237882158e-09
77 7.7273429056662 1.59887297009985e-09
78 7.82769800833719 1.56698176257739e-09
79 7.92805311100818 1.59554468662843e-09
80 8.02840821367917 1.5768696916555e-09
81 8.12876331635016 1.66420921853796e-09
82 8.22911841902115 1.70713656025492e-09
83 8.32947352169214 1.78404589448344e-09
84 8.42982862436313 1.70832095173175e-09
85 8.53018372703412 1.57614221287922e-09
86 8.63053882970511 1.39698749690283e-09
87 8.7308939323761 1.17079735038039e-09
88 8.83124903504709 1.00373973699642e-09
89 8.93160413771808 8.95635112023064e-10
90 9.03195924038907 8.98005330021821e-10
91 9.13231434306006 8.23480104709496e-10
92 9.23266944573105 7.87325257062494e-10
93 9.33302454840204 8.02797775943239e-10
94 9.43337965107303 8.13954937984417e-10
95 9.53373475374402 7.89723329791351e-10
96 9.63408985641501 7.49945369867443e-10
97 9.734444959086 7.6946463503721e-10
98 9.83480006175699 7.75249657852921e-10
99 9.93515516442798 7.20821256168904e-10
100 10.035510267099 7.30179309206895e-10
101 10.13586536977 6.04383499785281e-10
102 10.2362204724409 6.21189754754762e-10
103 10.3365755751119 6.11156257146371e-10
104 10.4369306777829 6.18017745119864e-10
105 10.5372857804539 7.54305329418908e-10
106 10.6376408831249 9.21104641282136e-10
107 10.7379959857959 nan
108 10.8383510884669 nan
109 10.9387061911379 nan
110 11.0390612938089 nan
111 11.1394163964799 nan
112 11.2397714991508 nan
113 11.3401266018218 nan
114 11.4404817044928 nan
115 11.5408368071638 nan
116 11.6411919098348 nan
117 11.7415470125058 nan
118 11.8419021151768 nan
119 11.9422572178478 nan
120 12.0426123205188 nan
121 12.1429674231898 nan
122 12.2433225258607 nan
123 12.3436776285317 nan
124 12.4440327312027 nan
125 12.5443878338737 nan
126 12.6447429365447 nan
127 12.7450980392157 nan
128 12.8454531418867 nan
129 12.9458082445577 nan
130 13.0461633472287 nan
131 13.1465184498996 nan
132 13.2468735525706 nan
133 13.3472286552416 nan
134 13.4475837579126 nan
135 13.5479388605836 nan
136 13.6482939632546 nan
137 13.7486490659256 nan
138 13.8490041685966 nan
139 13.9493592712676 nan
140 14.0497143739386 nan
141 14.1500694766095 nan
142 14.2504245792805 nan
143 14.3507796819515 nan
144 14.4511347846225 nan
145 14.5514898872935 nan
146 14.6518449899645 nan
