# %ECSV 1.0
# ---
# datatype:
# - {name: x, datatype: float64}
# - {name: y, datatype: float64}
# meta: !!omap
# - {courtesy: Joon Seo}
# - {testbed: HCIT}
# - {url: 'https://exoplanets.nasa.gov/internal_resources/2266/'}
# - {reference: CGI Milestone 9 (2017)}
# - {color: pink}
# - {pupil: Roman}
# - {ls: '-'}
# - {wl: 550}
# - {bp_pct: '10'}
# - {DM: 2 AOX}
# - {coronagraph: HLC}
# schema: astropy-2.0
x y
2.9953917050691246 8.297218993505775e-09
3.225806451612903 5.718697265227363e-09
3.456221198156682 3.904703180606175e-09
3.686635944700461 2.9385239577170938e-09
3.9170506912442398 2.5776766405042853e-09
4.147465437788019 2.298635389269863e-09
4.377880184331797 2.162327983328273e-09
4.6082949308755765 1.9415112434261697e-09
4.838709677419355 1.689988001989982e-09
5.0691244239631335 1.4665605029202697e-09
5.299539170506913 1.3504929228867867e-09
5.529953917050691 1.2162873254088331e-09
5.76036866359447 1.1265489623945894e-09
5.990783410138249 1.0846887783542053e-09
6.2211981566820285 1.016050457975173e-09
6.451612903225807 9.446296232797952e-10
6.682027649769585 9.206087081035038e-10
6.912442396313365 8.819140611639585e-10
7.142857142857143 8.812288230609066e-10
7.373271889400922 9.239835048007915e-10
7.603686635944701 9.010245599666516e-10
7.8341013824884795 9.286420194491936e-10
8.064516129032258 9.61367611429452e-10
8.294930875576037 1.1416911043630327e-09
8.525345622119817 1.588702501801816e-09
8.755760368663594 2.7670938595021477e-09
8.986175115207374 4.00407900439149e-09
