# %ECSV 1.0
# ---
# datatype:
# - {name: x, unit: lambda/D, datatype: float64}
# - {name: y, unit: normI, datatype: float64}
# meta: !!omap
# - {reference: Belikov et al. 2022}
# - {url: 'https://doi.org/10.1117/12.2630474'}
# - {pupil: obstructed+segmented}
# - {color: green}
# - {ls: -.}
# - {courtesy: Rus Belikov}
# - {bp_pct: 10}
# - {coronagraph: PIAACMC}
# - {wl: 650}
# - {DM: 1 BMC}
# - {testbed: HCIT}
# schema: astropy-2.0
x y
3.55681818181818 6.08837342238903e-08
3.67045454545455 7.263781692158413e-08
3.78409090909091 7.357354177323875e-08
3.89772727272727 6.333393415537819e-08
4.01136363636364 5.5600783667596796e-08
4.125 4.6526899407080515e-08
4.23863636363636 3.8666384088553265e-08
4.35227272727273 3.265478163661549e-08
4.46590909090909 2.8112460091265085e-08
4.57954545454546 2.6983455382119466e-08
4.69318181818182 2.5749373715597416e-08
4.80681818181818 2.466039768321808e-08
4.92045454545454 2.0879227674857315e-08
5.03409090909091 1.9240557552660283e-08
5.14772727272727 1.7957450268164948e-08
5.26136363636364 1.804951156878168e-08
5.375 1.9192124508719098e-08
5.48863636363636 1.99899744807242e-08
5.60227272727273 1.8400041464401582e-08
5.71590909090909 1.5860736407950302e-08
5.82954545454546 1.4882737189822484e-08
5.94318181818182 1.5777782204512814e-08
6.05681818181818 1.6794674834111365e-08
6.17045454545454 1.9470443042705767e-08
6.28409090909091 2.1293707544187717e-08
6.39772727272727 2.15981791228334e-08
6.51136363636364 2.062776077586828e-08
6.625 1.721331135552742e-08
6.73863636363636 1.5610488644956044e-08
6.85227272727273 1.4765861213104726e-08
6.96590909090909 1.3795251066697559e-08
7.07954545454546 1.2639068662464251e-08
7.19318181818182 1.199329728880111e-08
7.30681818181818 1.0194086290345812e-08
7.42045454545454 9.357499707761918e-09
7.53409090909091 9.644370653937838e-09
7.64772727272727 1.0048676572838935e-08
7.76136363636364 1.1183580494971197e-08
7.875 1.5066718832699057e-08
7.98863636363636 1.943805394223818e-08
